Master_SKU,Master_Name,Product_Family,Status,Haha_AI_Name,Nayax_Name,Cantaloupe_Name
SKU0329,Sunkist Grape 12oz,Sunkist Grape 12oz,Mapped,Sunkist Grape 12oz,Sunkist Grape,Sunkist Grape 12oz
SKU0330,Swedish Fish Tails,Swedish Fish Tails,Mapped,,Swedish Fish Tails,
SKU0331,TGI Fridays Potato Skins Jalapeño Cheddar,TGI Fridays Potato Skins Jalapeño Cheddar,Mapped,TGI Fridays Potato Skins Jalapeño Cheddar,,
SKU0332,Talenti Gelato Caramel Cookie Crunch,Talenti Gelato Caramel Cookie Crunch,Mapped,Talenti Gelato Caramel Cookie Crunch,,
SKU0333,Talenti Gelato Double Dark Chocolate 16 oz,Talenti Gelato Double Dark Chocolate 16 oz,Mapped,Talenti Gelato Double Dark Chocolate 16 oz,,
SKU0334,Thelma's Ice Cream Sandwich Chocolate Chip 6oz,Thelma's Ice Cream Sandwich Chocolate Chip 6oz,Mapped,Thelma's Ice Cream Sandwich Chocolate Chip 6oz,,
SKU0335,Thelma's Ice Cream Sandwich S'mores 6oz,Thelma's Ice Cream Sandwich S'mores 6oz,Mapped,Thelma's Ice Cream Sandwich S'mores 6oz,,
SKU0336,Thelma's Ice Cream Sandwich Monster 6fl oz,Thelma's Ice Cream Sandwich Monster 6fl oz,Mapped,Thelma's Monster Ice Cream Sandwich 6fl oz,,
SKU0337,Thelma's Ice Cream Sandwich Snickerdoodle 6fl oz,Thelma's Ice Cream Sandwich Snickerdoodle 6fl oz,Mapped,Thelma's Snickerdoodle Icecrram 6fl oz,,
SKU0338,Thelma's Ice Cream Sandwich Strawberry 6 oz,Thelma's Ice Cream Sandwich Strawberry 6 oz,Mapped,Thelma's Strawberry Sugar 6 oz,,
SKU0339,Trade Joe's Peanut Butter Pretzels 16oz,Trade Joe's Peanut Butter Pretzels 16oz,Mapped,Trade Joe's Peanut Butter Pretzels 16oz,,
SKU0340,Trader Joe's Chicken Shawarma Bowl 11.3oz,Trader Joe's Chicken Shawarma Bowl 11.3oz,Mapped,Trader Joe's Chicken Shawarma Bowl 11.3oz,,
SKU0341,Trader Joe's Chile Lime Pork Rinds,Trader Joe's Chile Lime Pork Rinds,Mapped,Trader Joe's Chile Lime Pork Rinds,,
SKU0342,Trader Joe's Green Chile Chicken Bowl 9.5oz,Trader Joe's Green Chile Chicken Bowl 9.5oz,Mapped,Trader Joe's Green Chile Chicken Bowl 9.5oz,,
SKU0343,Trader Joe's Trail Mix Cracker 4.5oz,Trader Joe's Trail Mix Cracker 4.5oz,Mapped,Trader Joe's Trail Mix Cracker 4.5oz,,
SKU0344,Trader Joe’s Chiicken Burrito Bowl,Trader Joe’s Chiicken Burrito Bowl,Mapped,Trader Joe’s Chiicken Burrito Bowl,,
SKU0345,Trader Joe’s Teriyaki Chicken Bowl,Trader Joe’s Teriyaki Chicken Bowl,Mapped,Trader Joe’s Teriyaki Chicken Bowl,,
SKU0346,Trolli,Trolli,Mapped,Trolli5oz,Trolli,
SKU0348,Turbos Flamas,Fritos Lay Variety,Mapped,Turbos Flamas,,
SKU0349,Twix,Twix,Mapped,Twix 1.79oz,,Twix
SKU0351,Twix Ice Cream Bar,Twix Ice Cream Bar,Mapped,Twix Ice Cream Bar,,
SKU0352,Uncrustable Peanut Butter & Strawberry Jam Sandwich,Uncrustable Peanut Butter & Strawberry Jam Sandwich,Mapped,Uncrustable Peanut Butter & Strawberry Jam Sandwich,,
SKU0353,Unknown,Unknown,Mapped,,Unknown,
SKU0354,Unwell Strawberry,Unwell Strawberry,Mapped,Unwell Strawberry Rapid Hydration + Focus,,
SKU0356,Uptime - Blood Orange,Uptime Variety,Mapped,Uptime Blood Orange 355 ml,Uptime,
SKU0357,Uptime - Blueberry Pomegranate,Uptime Variety,Mapped,Uptime blueberry pomegranate,,
SKU0358,Uptime - Mango Pineapple,Uptime Variety,Mapped,Uptime mango pineapple,,
SKU0359,Uptime - Strawberry Dragonfruit,Uptime Variety,Mapped,Uptime strawberry dragon fruit,,
SKU0360,VITAL Pursuit  Southwest Style Beef Taco Bowl  9.5 oz,VITAL Pursuit  Southwest Style Beef Taco Bowl  9.5 oz,Mapped,VITAL Pursuit  Southwest Style Beef Taco Bowl  9.5 oz,,
SKU0361,Van Leeuwen Malted Cookie Dough Shake 14 fl oz,Van Leeuwen Malted Cookie Dough Shake 14 fl oz,Mapped,Van Leeuwen Malted Cookie Dough Shake 14 fl oz,,
SKU0362,Van Leeuwen Sicilian Pistachio. 1 pint,Van Leeuwen Sicilian Pistachio. 1 pint,Mapped,Van Leeuwen Sicilian Pistachio. 1 pint,,
SKU0363,M&M’s Ice Cream Cookie Sandwich - Vanilla,M&M’s Ice Cream Cookie Sandwich - Vanilla,Mapped,Vanilla M&M’s cookie sandwich,,
SKU0365,Venom Energy Original,Venom Energy Original,Mapped,,Venom Energy Original,
SKU0368,Welch's Fruit Snacks Berries N Cherries,Welch's Variety,Mapped,Welch's Fruit Snacks Berries N Cherries,,
SKU0369,Welch's Fruit Snacks Mixed Fruit,Welch's Variety,Mapped,Welch's Fruit Snacks Mixed Fruit,Welch's,Welch
SKU0371,Wilde Protein Chips,Wilde Variety,Mapped,Wilde Protein Chips,,Wilde Chips
SKU0372,Wilde Protein Chips Buffalo,Wilde Variety,Mapped,Wilde Protein Chips Buffalo,,
SKU0373,Wilde Protein Chips Nashville Hot,Wilde Variety,Mapped,Wilde Protein Chips Nashville Hot,,
SKU0374,Wilde Protein Chips SeaSalt & Vinegar,Wilde Variety,Mapped,Wilde Protein Chips SeaSalt & Vinegar,,
SKU0375,Wilde Protein Chips Chicken and Waffles,Wilde Variety,Mapped,Wilde Protein Chips chicken and Waffles,,
SKU0376,Wonderful Pistachio - Jalapeño Lime,Wonderful Pistachio Variety,Mapped,Wonderful Jalapeño Lime Pistachios,,
SKU0377,Yasso Frozen Greek Yogurt Bar Chocolate Chip Cookie Dough,Yasso Frozen Greek Yogurt Bar Chocolate Chip Cookie Dough,Mapped,Yasso Frozen Greek Yogurt Bar Chocolate Chip Cookie Dough,,
SKU0378,Yasso Frozen Greek Yogurt Creamy Mango,Yasso Frozen Greek Yogurt Creamy Mango,Mapped,Yasso Frozen Greek Yogurt Creamy Mango,,
SKU0380,Zapp's Voodoo Potato Chips 2.5oz,Zapp's Voodoo Potato Chips 2.5oz,Mapped,Zapp's Voodoo Potato Chips 2.5oz,,
SKU0381,Zbar Chocolate Chip,Z-Bar Variety,Mapped,Zbar Chocolate Chip,Z Bar Chocolate,
SKU0382,Zbar Oatmeal Cookie,Z-Bar Variety,Mapped,Zbar Oatmeal Cookie,,
SKU0097,Coca Cola 16.9oz,Coca Cola 16.9oz,Mapped,cocacola original taste 500ml,,
SKU0385,Popchip - Sour Cream & Onion,Popchip Variety,Mapped,popchips sour cream &onion 	0.8oz,,
SKU0298,Snapple - Kiwi Strawberry,Snapple - Kiwi Strawberry,Mapped,snapple Multi-flavor combinations 20oz,,
SKU0390,Snickers,Snickers,Mapped,snickers1.86oz,,
SKU0273,Reese's Peanut Butter Cups,Reese's Peanut Butter Cups,Mapped,reese's 42g,,
,,,,,,
